,dt,type,query
627,2025-07-22 15:38:11,education support,"My teenage son has learning difficulties. I'm a single parent working part-time, and school fees and costs are really hard to manage."
628,2025-08-20 11:29:04,elderly,I am Elderly (Senior) looking for Food Support that offers Financial Assistance
629,2025-05-30 05:13:51,elderly,I am Woman in Need of Support looking for Caregiver Support that offers Financial Assistance
630,2025-08-04 04:52:51,education support,I am Person with Disabilities or Special Needs looking for Education Programs
631,2025-06-17 13:42:14,elderly,care corner
632,2025-06-07 12:49:41,low income,I am Low-Income Individual or Family looking for Education Programs that offers Education Opportunities
633,2025-06-10 09:11:24,low income,Hi I am poor
634,2025-07-19 06:16:18,elderly,I'm a 67-year-old retiree and feel bored and lonely. I want to do something meaningful.
635,2025-07-13 08:03:38,counselling and emotional support,I am Elderly (Senior) looking for Housing Assistance that offers Education Opportunities
636,2025-07-12 15:00:00,counselling and emotional support,I am In Need of Legal Aid looking for Legal Aid Services that offers Legal Aid Services
637,2025-06-17 08:48:48,family,Support for pregnant mothers seeking abortion
638,2025-06-20 13:31:34,family,i need shelter
639,2025-07-30 22:16:48,financial assistance,I am Low-Income Individual or Family looking for Education Programs that offers Financial Assistance
640,2025-07-18 15:57:20,financial assistance,Can I reapply for MOE bursary if my family's financial situation has changed?
641,2025-08-06 08:53:58,low income,low income family in need of money
642,2025-08-22 09:17:58,counselling and emotional support,ex-offender jobs
643,2025-05-25 06:45:48,mental health,I am Child or Youth looking for Mental Health Support
644,2025-07-18 16:33:10,family,My income is unstable and changes month to month. Can I still get help?
645,2025-07-22 09:11:47,counselling and emotional support,I am Parent or Family Member looking for Family Support Services that offers Legal Aid Services
646,2025-06-28 06:34:08,low income,i am a unemplyoed student with huge medical bills that i need to pay
647,2025-08-04 00:49:38,financial assistance,I am Low-Income Individual or Family looking for Financial Assistance Programs that offers Financial Assistance
648,2025-08-21 15:38:36,family,I am Low-Income Individual or Family looking for Shelter Services that offers Housing Assistance
649,2025-08-22 07:23:30,low income,I am Low-Income Individual or Family looking for Food Support that offers Food Support
650,2025-06-23 00:35:03,family,I am looking for professional development
651,2025-07-19 05:54:59,counselling and emotional support,I think I have anxiety but I don't want to spend a lot to see someone. What can I do?
652,2025-07-19 05:40:41,education support,I'm 35 and want to study part-time while working. I'm worried about course fees.
653,2025-07-18 15:00:14,financial assistance,"I’m 67 years old, living alone in a public rental flat with no family support. I rely on occasional cleaning jobs but have no fixed income. Are there any schemes that provides financial aid for daily expenses for someone in my position?
"
654,2025-08-18 13:04:45,counselling and emotional support,I am Child or Youth looking for Family Support Services that offers Financial Assistance
655,2025-05-29 03:35:05,family,I am Low-Income Individual or Family looking for Disability Support Services that offers Financial Assistance
656,2025-08-20 09:34:47,financial assistance,i need money and food. my aunt has diabetes
657,2025-07-25 07:13:50,elderly,I am Caregiver looking for Caregiver Support that offers Caregiver Assistance
658,2025-05-20 01:44:05,mental health,I am depressed
659,2025-06-25 09:01:00,low income,I am Low-Income Individual or Family looking for Financial Assistance Programs that offers Financial Assistance
660,2025-07-22 15:09:53,elderly,I am Elderly (Senior) looking for Transport Services
661,2025-07-16 02:52:32,counselling and emotional support,children abusing parents
662,2025-06-04 03:20:52,elderly,Introduce your self
663,2025-07-07 04:21:58,financial assistance,I am Migrant or Foreign Worker
664,2025-05-20 06:09:00,low income,i have a dependent with intellectual disability an di require support to care for him
665,2025-05-24 14:53:58,low income,Financial and employment assistance
666,2025-07-05 07:37:37,low income,I am a handicapped person in need of fa
667,2025-06-13 07:27:55,low income,I am Low-Income Individual or Family looking for Food Support
668,2025-07-19 05:19:21,financial assistance,"I'm 60, married, but our combined part-time wages are only around $1,800. We can't keep up with bills or medical costs."
669,2025-06-07 04:43:16,mental health,I am looking for Mental Health Support
670,2025-07-24 07:43:45,financial assistance,I am looking for Employment Assistance that offers Employment Support
671,2025-06-02 03:01:50,family,"I am 50 years old and just got retrenched, I take care of 2 children in secondary school"
672,2025-07-22 15:24:16,counselling and emotional support,"client needs mental health help, stays 312062"
673,2025-06-02 03:09:01,family,"resources for first time young parents, single parents"
674,2025-06-28 04:11:14,low income,i am looking for a job
675,2025-08-01 06:37:02,counselling and emotional support,to help with life
676,2025-07-19 06:23:49,financial assistance,I'm a single mum working part-time. I want to study to get a better job. Can I get help?
677,2025-05-20 01:44:14,healthcare,I am Parent or Family Member looking for Financial Assistance Programs to care for elderly bedbound patient
678,2025-05-25 06:03:11,low income,I am looking for Food Support
679,2025-07-30 22:02:52,elderly,I am Elderly (Senior) looking for Caregiver Support that offers Financial Assistance
680,2025-07-23 11:26:56,financial assistance,I am Parent or Family Member looking for Caregiver Support that offers Financial Assistance
681,2025-07-18 15:43:24,financial assistance,I'm caring for my elderly mother who can't bathe or move on her own. I can't work full-time because of this.
682,2025-07-19 04:43:40,financial assistance,Is the MOE bursary only for Singapore Citizens?
683,2025-06-24 02:00:03,education,I am looking for Education Programs
684,2025-06-18 06:53:30,mental health,I am Facing End-of-Life or Terminal Illness where can I find support 
685,2025-06-06 04:51:44,ex-offender,I am Ex-Offender or Incarcerated Individual looking for Mental Health Support that offers befriend
686,2025-07-22 09:26:29,counselling and emotional support,I am Parent or Family Member looking for Family Support Services that offers Legal Aid Services
687,2025-07-06 00:05:39,low income,I am Low-Income Individual or Family looking for Housing Assistance that offers Housing Assistance
688,2025-07-22 12:03:59,counselling and emotional support,I am Elderly (Senior) looking for Mental Health Support
689,2025-06-06 03:47:21,elderly,active ageing center
690,2025-06-10 13:36:45,low income,I am Low-Income Individual or Family looking for Financial Assistance Programs to afford internet connection
691,2025-06-04 00:22:10,education,school fees
692,2025-05-15 03:59:10,elderly,"60 year old caring for an elderly spouse, caregiver support, living in toa payoh"
693,2025-08-01 16:09:52,counselling and emotional support,I am Child or Youth looking for Housing Assistance
694,2025-06-11 02:37:03,low income,I am a student in need of academic resources help I have no money 
695,2025-07-19 05:48:13,counselling and emotional support,I'm 68 and living alone. My kids are busy with their own lives. I feel very lonely. Is there anything for people like me?
696,2025-07-25 07:14:11,elderly,I am Elderly (Senior) looking for Caregiver Support that offers Caregiver Assistance
697,2025-06-11 02:29:57,low income,I am a secondary school student in need of financial aid and resources and a good environment 
698,2025-07-18 16:19:23,financial assistance,"I'm Malay, low-income, I need financial assistance for my kids education. Are there specific schemes for us?"
699,2025-06-13 00:54:31,elderly,I am Elderly (Senior) looking for Financial Assistance Programs that offers Financial Assistance
700,2025-07-29 05:57:54,elderly,i need help with caregiving of my elderly parents and adult with low mental capacity. home is messy
701,2025-08-08 05:38:54,financial assistance,I am looking for scheme that offers Financial Assistance
702,2025-07-18 15:15:00,financial assistance,I'm 60 with high blood pressure and diabetes. I live alone in a 2-room HDB flat and my pension barely covers food and medical bills.
703,2025-08-01 06:37:19,counselling and emotional support,to help me
704,2025-07-18 15:50:49,financial assistance,Can MediSave be used to pay for outpatient cancer treatments?
705,2025-05-27 11:01:43,family,I am Child or Youth looking for Housing Assistance that offers Housing Assistance
706,2025-08-24 09:37:41,financial assistance,I am Parent or Family Member looking for Healthcare Services
707,2025-06-21 08:01:46,healthcare,I am a cancer patient who needs some food criterias
708,2025-07-19 04:58:15,children,My child is in childcare and I'm a single mum working part-time. I can't afford the fees anymore.
709,2025-06-04 00:22:23,transport,transport fund
710,2025-06-26 07:55:55,mental health,I am Child or Youth looking for Mental Health Support
711,2025-08-01 06:37:26,counselling and emotional support,to help her
712,2025-06-04 03:21:22,elderly,hi
713,2025-05-25 05:20:37,mental health,care corner mental health for kids
714,2025-07-18 15:07:59,financial assistance,I'm a single mum working part-time and can’t manage paying childcare fees anymore. What can I do?
715,2025-06-06 03:47:40,youth,I am Child or Youth
716,2025-08-01 07:56:13,counselling and emotional support,I am Dealing with Addictions or Recovery looking for scheme that offers Addiction Recovery Services
717,2025-08-08 05:39:04,counselling and emotional support,carecorner
718,2025-06-17 13:43:05,mental health,care corner individuals mental health emotional anxiety
719,2025-08-19 15:27:20,financial assistance,I need more money
720,2025-06-28 08:43:42,elderly,carecorner
721,2025-07-19 05:55:39,counselling and emotional support,I'm trying to quit drinking but it's really hard on my own. Are there any support groups?
722,2025-05-15 04:13:47,mental health,"What mental health services are available for a 40plus year old male, who has a history of substance abuse but has been clean for a few years, but struggles with hallucinations. He is seeing a psychiatrist for treatment but has no official diagnosis."
